CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
032640002020062913;03264000;29/06/2020;7613;I2M2;0.3967
032451002020062513;03245100;25/06/2020;7613;I2M2;0.5616
031801002020061813;03180100;18/06/2020;7613;I2M2;0.6424
032272962020061813;03227296;18/06/2020;7613;I2M2;0.7196
032263002020061813;03226300;18/06/2020;7613;I2M2;0.669
032271002020061813;03227100;18/06/2020;7613;I2M2;0.5458
032265402020061613;03226540;16/06/2020;7613;I2M2;0.6174
032260002020061613;03226000;16/06/2020;7613;I2M2;0.7784
031917002020061613;03191700;16/06/2020;7613;I2M2;0.6341
032266402020061613;03226640;16/06/2020;7613;I2M2;0.6748
032463002020060413;03246300;04/06/2020;7613;I2M2;0.4026
031946202020060413;03194620;04/06/2020;7613;I2M2;0.6322
032197802020060313;03219780;03/06/2020;7613;I2M2;0.7233
031970002020060313;03197000;03/06/2020;7613;I2M2;0.4271
032227802020060213;03222780;02/06/2020;7613;I2M2;0.6195
032224182020060213;03222418;02/06/2020;7613;I2M2;0.7196
031985302020060213;03198530;02/06/2020;7613;I2M2;0.7323
032215002020052913;03221500;29/05/2020;7613;I2M2;0.8394
031788352020052813;03178835;28/05/2020;7613;I2M2;0.6121
032160002020052713;03216000;27/05/2020;7613;I2M2;0.6163
032120902020052713;03212090;27/05/2020;7613;I2M2;0.7892
031786602020052713;03178660;27/05/2020;7613;I2M2;0.6226
031746952020052713;03174695;27/05/2020;7613;I2M2;0.2913
032174002020052613;03217400;26/05/2020;7613;I2M2;0.4609
032411702019102513;03241170;25/10/2019;7613;I2M2;0.9383
032401002019102513;03240100;25/10/2019;7613;I2M2;0.5838
032346502019102513;03234650;25/10/2019;7613;I2M2;0.6851
032339802019102413;03233980;24/10/2019;7613;I2M2;0.671
032419572019102413;03241957;24/10/2019;7613;I2M2;0.7867
032324502019101613;03232450;16/10/2019;7613;I2M2;0.8317
032451002019101513;03245100;15/10/2019;7613;I2M2;0.6173
032349562019101513;03234956;15/10/2019;7613;I2M2;0.6187
032342152019101013;03234215;10/10/2019;7613;I2M2;0.3061
